name,showName
breath,默认
hi,嗨
greet,你好呀
sayhello,打招呼
run_jogging,跑两步
say_yes,OK!
Bye,Bye
Walk1,走路
RotateLeft90,向左转
RotateRight90,向右转
RotateLeft180,向后转
run_happy,开心到飞起
xu,悄悄话
stop,不行不行
say_no,不可以哟
say_no2,不不不
speech5,讲话
angry2,好气呀
what!,听我解释
zhidongxi,看这里
PointFront,向前指
Pick-up_High,摘星星
idle_pickup,玩手机
idle_on_chair,坐着
jilejingtu0-930,极乐净土1
jilejingtu931-2070,极乐净土2
jilejingtu2071-2690,极乐净土3
jilejingtu2691-3410,极乐净土4
jilejingtu3411-4020,极乐净土5
jilejingtu4021-4940,极乐净土6
jilejingtu4941-5900,极乐净土7
Clap dance,拍手舞
Clap dance_1,拍手舞1
Clap dance_2,拍手舞2
Clap dance_3,拍手舞3
Clap dance_4,拍手舞4
Clap dance_5,拍手舞5
Clap dance_6,拍手舞6
Clap dance_7,拍手舞7
